date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:00	280157/280157	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2021:19:22%20GMT	https://www.jillszeder.com/	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/index.html	(from )
15:20:00	48/48	---M--	200	added ('OK')	text/plain	etag:%226232d509-30%22	https://www.jillszeder.com/robots.txt		(from )
15:20:00	146/146	---M--	403	error ('Forbidden')	text/html	date:Thu,%2024%20Apr%202025%2021:19:22%20GMT	https://www.jillszeder.com/xmlrpc.php	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/xmlrpc.php	(from https://www.jillszeder.com/)
15:20:00	64367/64367	---M--	200	added ('OK')	image/jpeg	etag:%2267c57b8b-fb6f%22	https://www.jillszeder.com/wp-content/uploads/2025/03/mob-slide-1.jpg	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/wp-content/uploads/2025/03/mob-slide-1.jpg	(from https://www.jillszeder.com/)
15:20:01	1965246/1965246	---M--	200	added ('OK')	image/jpeg	etag:%22642b393b-1dfcbe%22	https://www.jillszeder.com/wp-content/uploads/2022/12/1.jpg	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/wp-content/uploads/2022/12/1.jpg	(from https://www.jillszeder.com/)
15:20:02	551676/551676	---M--	200	added ('OK')	image/jpeg	etag:%22637bc150-86afc%22	https://www.jillszeder.com/wp-content/uploads/2022/10/slide-new.jpg	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/wp-content/uploads/2022/10/slide-new.jpg	(from https://www.jillszeder.com/)
15:20:02	286965/286965	---M--	200	added ('OK')	image/jpeg	etag:%22632a95fa-460f5%22	https://www.jillszeder.com/wp-content/uploads/2022/03/1_lagorceisland_21-outlined.jpg	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/wp-content/uploads/2022/03/1_lagorceisland_21-outlined.jpg	(from https://www.jillszeder.com/)
15:20:02	1860694/1860694	---M--	200	added ('OK')	image/jpeg	etag:%2263925721-1c6456%22	https://www.jillszeder.com/wp-content/uploads/2022/12/9530-W-Broadview-Dr_1oakstudios_77.jpg	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/wp-content/uploads/2022/12/9530-W-Broadview-Dr_1oakstudios_77.jpg	(from https://www.jillszeder.com/)
15:20:03	243659/243659	---M--	200	added ('OK')	image/jpeg	etag:%22632a95f8-3b7cb%22	https://www.jillszeder.com/wp-content/uploads/2022/03/ss-img_03-18-22_01.jpg	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/wp-content/uploads/2022/03/ss-img_03-18-22_01.jpg	(from https://www.jillszeder.com/)
15:20:03	749434/749434	---M--	200	added ('OK')	image/jpeg	etag:%2263581797-b6f7a%22	https://www.jillszeder.com/wp-content/uploads/2022/10/22.jpg	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/wp-content/uploads/2022/10/22.jpg	(from https://www.jillszeder.com/)
15:20:03	501948/501948	---M--	200	added ('OK')	image/jpeg	etag:%2265f2186b-7a8bc%22	https://www.jillszeder.com/wp-content/uploads/2024/02/slider-01.jpg	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/wp-content/uploads/2024/02/slider-01.jpg	(from https://www.jillszeder.com/)
15:20:03	285206/285206	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2021:19:26%20GMT	https://www.jillszeder.com/page/2/	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/page/2/index.html	(from https://www.jillszeder.com/)
15:20:03	11620/11620	---MCZ	200	added ('OK')	application/javascript	etag:W/%228ce0c9424f0c6b62d02fc073fe10a248%22	https://cdn.vs12.com/libraries/js/picturefill.min.js	C:/Users/Administrator/Desktop/ModuloA/cdn.vs12.com/libraries/js/picturefill.min.js	(from https://www.jillszeder.com/)
15:20:03	4042/4042	---M-Z	200	added ('OK')	text/css	etag:W/%226625c5bc-fca%22	https://www.jillszeder.com/wp-content/plugins/contact-form-7-image-captcha/css/cf7ic-style.css	C:/Users/Administrator/Desktop/ModuloA/www.jillszeder.com/wp-content/plugins/contact-form-7-image-captcha/css/cf7ic-style.css	(from https://www.jillszeder.com/)
15:20:04	19854/19854	---MCZ	200	added ('OK')	text/css	etag:W/%22a59b42659aa74857718acfa3ba4b3456%22	https://cdn.vs12.com/font-icons/agentimage.font.icons.css	C:/Users/Administrator/Desktop/ModuloA/cdn.vs12.com/font-icons/agentimage.font.icons.css	(from https://www.jillszeder.com/)
15:20:04	121477/121477	---MCZ	200	added ('OK')	text/css	etag:W/%228f3459ce9770405406d97bbadf97c2c6%22	https://cdn.vs12.com/bootstrap/bootstrap.min.css	C:/Users/Administrator/Desktop/ModuloA/cdn.vs12.com/bootstrap/bootstrap.min.css	(from https://www.jillszeder.com/)
